record_type,fips,name,parcel_count,stratmap_vintage,prop_id_bad_rate,join_key,cad_url,cad_verification,vendor,adversarial,risk_classes,cost_est_usd
county,48111,Dallam,6271,202503,0.0354,prop_id,https://services6.arcgis.com/jwCCs5I7EWDwKVZK/arcgis/rest/services/DallamCADWebService/FeatureServer,verified,bis-consultants,,bis-field-template,0.11
county,48113,Dallas,694160,202508,0.0,prop_id,,honestly_absent,dcad-bulk-only,,no-rest,11.88
county,48115,Dawson,9677,202505,0.0505,prop_id,,unverified,,,,0.17
county,48117,Deaf Smith,10901,202503,0.0083,prop_id,https://services8.arcgis.com/PggHKOKuiChUpH94/arcgis/rest/services/DeafSmithCADWebService/FeatureServer,verified,bis-consultants,,bis-field-template,0.19
county,48119,Delta,6470,202503,0.055,prop_id,https://services8.arcgis.com/CPh8611N01zfPAqb/arcgis/rest/services/DeltaCADWebService/FeatureServer,verified,bis-consultants,,bis-field-template,0.11
county,48121,Denton,353705,202503,0.0016,prop_id,,unverified,,,,6.05
county,48123,DeWitt,20802,202505,0.0,prop_id,https://services6.arcgis.com/bdPqSfflsdgFRVVM/arcgis/rest/services/Rezone_Syracuse_Parcels2024_2024_12_17_Public/FeatureServer,verified,discovered-arcgis,,stratmap-vintage-drift,0.36
county,48125,Dickens,4747,202505,0.0407,prop_id,https://services6.arcgis.com/drkDXByy6E3bYW3a/arcgis/rest/services/dickenson_county_va_parcels/FeatureServer,partial,discovered-arcgis,,,0.08
county,48127,Dimmit,15542,202503,0.3913,geo_id_or_address_crosswalk,https://services8.arcgis.com/LnmYQjpj3hrjkj1L/arcgis/rest/services/DimmitCADWebService/FeatureServer,verified,bis-consultants,,crosswalk-required;bis-field-template,0.27
county,48129,Donley,,,,prop_id,,unverified,,,no-stratmap,0.0
county,48131,Duval,14772,202503,0.0999,prop_id,https://services8.arcgis.com/RAxb9SOLfINbVMkC/arcgis/rest/services/DuvalCADWebService/FeatureServer,verified,bis-consultants,,bis-field-template,0.25
county,48133,Eastland,21448,202505,0.024,prop_id,https://gisdata.pandai.com/pamaps02/rest/services/Eastland/EastlandCADPublic/MapServer,partial,discovered-arcgis,,,0.37
county,48135,Ector,75947,202508,0.0,prop_id,https://services.arcgis.com/jDGuO8tYggdCCnUJ/arcgis/rest/services/W2W_jupiter_parcels_1mi/FeatureServer,verified,discovered-arcgis,,stratmap-vintage-drift,1.3
county,48137,Edwards,9948,202503,0.0214,prop_id,https://services6.arcgis.com/VtGdG6zirc9oUs4j/arcgis/rest/services/EdwardsCADWebService/FeatureServer,verified,bis-consultants,,bis-field-template,0.17
county,48139,Ellis,98803,202507,0.0,prop_id,,unverified,,,,1.69
county,48141,El Paso,407130,202503,0.0122,prop_id,https://services2.arcgis.com/fKvlzLJczghwPYHS/arcgis/rest/services/ElPasoCADWebService/FeatureServer,verified,bis-consultants,,bis-field-template,6.97
county,48143,Erath,24656,202503,0.0249,prop_id,https://gis.ecgis.co.ellis.tx.us/arcgis/rest/services/Hosted/Prairielands_Parcels/FeatureServer,unverified,county-run-halff,,,0.42
county,48145,Falls,18581,202503,0.0425,prop_id,https://services7.arcgis.com/imOmRN2vd4Vxuep1/arcgis/rest/services/FallsCADWebService/FeatureServer,verified,bis-consultants,,bis-field-template,0.32
county,48147,Fannin,29043,202503,0.0315,prop_id,https://services7.arcgis.com/Ju7oGiDpMOkcpqOt/arcgis/rest/services/FanninCADWebService1/FeatureServer,verified,bis-consultants,,bis-field-template,0.5
county,48149,Fayette,23884,202503,0.0089,prop_id,,unverified,,,,0.41
county,48151,Fisher,6820,202505,0.0194,prop_id,,unverified,,,,0.12
county,48153,Floyd,13217,202507,0.4559,geo_id_or_address_crosswalk,,unverified,,,crosswalk-required,0.23
county,48155,Foard,5396,202505,0.0321,prop_id,,unverified,,,,0.09
