Pager usage is off.
breadth_48209_round_mountain	64	32	0	buildable-envelope,zoning-fact
breadth_48209_neiderwald	62	31	0	buildable-envelope,zoning-fact
breadth_48209_san_marcos_tx_78666	37	30	0	buildable-envelope,zoning-fact
breadth_48209_drippiing_springs	40	27	0	buildable-envelope,zoning-fact
breadth_48209_henly	50	25	0	buildable-envelope,zoning-fact
breadth_48021_la_grange	25	25	0	zoning-fact
breadth_48209_driftwood_tx	36	18	0	buildable-envelope,zoning-fact
breadth_48309_aquilla	28	14	0	buildable-envelope,zoning-fact
breadth_48209_manchaca_tx	28	14	0	buildable-envelope,zoning-fact
breadth_48209_dripping_springs_tx_78620	24	14	0	buildable-envelope,zoning-fact
breadth_48209_blanco	22	11	0	buildable-envelope,zoning-fact
breadth_48309_birome	20	10	0	buildable-envelope,zoning-fact
breadth_48309_oglesby	14	7	0	buildable-envelope,zoning-fact
breadth_48209_wimberlery	14	7	0	buildable-envelope,zoning-fact
breadth_48209_dripping_spring	10	6	0	buildable-envelope,zoning-fact
breadth_48209_dripping_sprgs	6	6	0	zoning-fact
breadth_48209_wimberly	10	5	0	buildable-envelope,zoning-fact
breadth_48209_wimberley_tx_78676	10	5	0	buildable-envelope,zoning-fact
breadth_48209_woodcreek	10	5	0	buildable-envelope,zoning-fact
breadth_48209_maxwell_tx	8	4	0	buildable-envelope,zoning-fact
breadth_48209_austn	8	4	0	buildable-envelope,zoning-fact
breadth_48021_austin	4	4	0	zoning-fact
breadth_48209_austiin	6	3	0	buildable-envelope,zoning-fact
breadth_48309_lacy_lakeview	6	3	0	buildable-envelope,zoning-fact
breadth_48209_wimbreley	6	3	0	buildable-envelope,zoning-fact
breadth_48209_dripping_spirngs	6	3	0	buildable-envelope,zoning-fact
breadth_48055_uhland	6	3	0	buildable-envelope,zoning-fact
breadth_48209_martindale	5	3	0	buildable-envelope,zoning-fact
breadth_48209_kyl	4	3	0	buildable-envelope,zoning-fact
breadth_48021_cedar_crek	3	3	0	zoning-fact
breadth_48209_san_maros	4	2	0	buildable-envelope,zoning-fact
breadth_48209_drippings_springs	4	2	0	buildable-envelope,zoning-fact
breadth_48055_lulilng	4	2	0	buildable-envelope,zoning-fact
breadth_48209_wimberey	4	2	0	buildable-envelope,zoning-fact
breadth_48209_wimerley	4	2	0	buildable-envelope,zoning-fact
breadth_48309_abbott	4	2	0	buildable-envelope,zoning-fact
breadth_48309_crwford	4	2	0	buildable-envelope,zoning-fact
breadth_48309_valley_mill	4	2	0	buildable-envelope,zoning-fact
breadth_48209_driping_springs	3	2	0	buildable-envelope,zoning-fact
breadth_48209_san_marcos_tex	3	2	0	buildable-envelope,zoning-fact
breadth_48209_(s_lief_johson_tr)	2	2	0	zoning-fact
breadth_48209_sam_marcos_tx	2	2	0	zoning-fact
breadth_48021_training_center	2	2	0	zoning-fact
breadth_48055_niederwald	2	1	0	buildable-envelope,zoning-fact
breadth_48209_new_bruanfels	2	1	0	buildable-envelope,zoning-fact
breadth_48055_martndale	2	1	0	buildable-envelope,zoning-fact
breadth_48209_niedewald	2	1	0	buildable-envelope,zoning-fact
breadth_48055_lulung	2	1	0	buildable-envelope,zoning-fact
breadth_48209_rsan_marcos_tx	2	1	0	buildable-envelope,zoning-fact
breadth_48309_wooday	2	1	0	buildable-envelope,zoning-fact
breadth_48209_henley	2	1	0	buildable-envelope,zoning-fact
breadth_48209_manchaca_xs	2	1	0	buildable-envelope,zoning-fact
breadth_48055_wealder	2	1	0	buildable-envelope,zoning-fact
breadth_48209_guad_co	2	1	0	buildable-envelope,zoning-fact
breadth_48055_praire_lea	2	1	0	buildable-envelope,zoning-fact
breadth_48209_wimbelrey	2	1	0	buildable-envelope,zoning-fact
breadth_48209_wimberely_tx	2	1	0	buildable-envelope,zoning-fact
breadth_48209_drippng_springs_tx	2	1	0	buildable-envelope,zoning-fact
breadth_48209_wimberley_78676	2	1	0	buildable-envelope,zoning-fact
breadth_48209_drippingsprings_texas	2	1	0	buildable-envelope,zoning-fact
breadth_48209_dripping_srpings	2	1	0	buildable-envelope,zoning-fact
breadth_48209_dripping_srings	2	1	0	buildable-envelope,zoning-fact
breadth_48209_wmberley	2	1	0	buildable-envelope,zoning-fact
breadth_48209_womberley	2	1	0	buildable-envelope,zoning-fact
breadth_48209_buda_tx_78610	2	1	0	buildable-envelope,zoning-fact
breadth_48309_&_pareya_dr	2	1	0	buildable-envelope,zoning-fact
breadth_48309_0896.11s44a	2	1	0	buildable-envelope,zoning-fact
breadth_48309_aaquilla	2	1	0	buildable-envelope,zoning-fact
breadth_48309_atell	2	1	0	buildable-envelope,zoning-fact
breadth_48309_berwick_ct,_mackintosh_ct	2	1	0	buildable-envelope,zoning-fact
breadth_48309_brucevill	2	1	0	buildable-envelope,zoning-fact
breadth_48309_brucville	2	1	0	buildable-envelope,zoning-fact
breadth_48309_cavitt	2	1	0	buildable-envelope,zoning-fact
breadth_48309_china_sprng	2	1	0	buildable-envelope,zoning-fact
breadth_48309_china_srping	2	1	0	buildable-envelope,zoning-fact
breadth_48309_ching_spring	2	1	0	buildable-envelope,zoning-fact
breadth_48309_chins_spring	2	1	0	buildable-envelope,zoning-fact
