rail_key,verdict,unaccounted_count,evaluated_at,run_id
situsState,refuse,82,2026-09-19 04:20:19.136+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
situsZip,pass,0,2026-09-19 04:20:29.273+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
specialDistricts,pass,0,2026-09-19 04:27:17.6+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
terrain,excluded-no-acquisition-path,0,2026-09-19 04:28:58.812+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
treeProtection,excluded-no-acquisition-path,0,2026-09-19 04:26:27.186+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
utilityService,pass,0,2026-09-19 04:28:06.381+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
valueHistory,pass,0,2026-09-19 04:27:37.165+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
wells,pass,0,2026-09-19 04:26:41.975+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
yearBuilt,pass,0,2026-09-19 04:22:04.023+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
zoningDistrict,pass,0,2026-09-19 04:24:00.549+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
zoningJurisdictionKey,pass,0,2026-09-19 04:24:07.323+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
zoningProvenance,pass,0,2026-09-19 04:24:14.872+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
