fips,active,retired,other,total,first_retired_at,last_retired_at,distinct_retired_at
48021,61381,1013,0,62394,2026-08-11T12:14:06.746Z,2026-08-11T12:14:06.746Z,1
48055,25181,0,0,25181,,,0
48209,116842,0,0,116842,,,0
48309,114369,0,0,114369,,,0
48453,804457,40,0,804497,2026-09-07T15:00:04.908Z,2026-09-07T15:00:04.908Z,1
48491,282695,0,0,282695,,,0
