"propId","geoId","txgioGeomBytes","bcadPolyForPropId","bcadNonPolyForPropId","bcadPolySameGeoId","successorsCoveringFootprint","successorPropIds","classification"
"141403","R51213","684","0","0","0","0","","GONE_FROM_BCAD"
"141406","R53089","348","0","0","0","0","","GONE_FROM_BCAD"
"141411","R53334","348","0","0","0","0","","GONE_FROM_BCAD"
"141413","R55444","756","0","0","0","1","8712520","SUCCESSOR_POLYGON_OTHER_ID_COVERS_FOOTPRINT"
"141418","","924","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"141419","R56910","492","0","0","0","1","56910","SUCCESSOR_POLYGON_OTHER_ID_COVERS_FOOTPRINT"
"141423","R57275","300","0","0","0","0","","GONE_FROM_BCAD"
"141425","R57750","300","0","0","0","0","","GONE_FROM_BCAD"
"141429","R59261","300","0","0","0","0","","GONE_FROM_BCAD"
"141430","R59340","300","0","0","0","0","","GONE_FROM_BCAD"
"141433","R59783","348","0","0","0","0","","GONE_FROM_BCAD"
"141435","","732","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"141440","R63365","300","0","0","0","0","","GONE_FROM_BCAD"
"141446","R66916","348","0","0","0","0","","GONE_FROM_BCAD"
"141447","R70007","840","0","0","0","2","70007|8711646","SUCCESSOR_POLYGON_OTHER_ID_COVERS_FOOTPRINT"
"141451","R73784","684","0","0","0","0","","GONE_FROM_BCAD"
"141452","R73898","348","0","0","0","0","","GONE_FROM_BCAD"
"141454","R76763","684","0","0","0","0","","GONE_FROM_BCAD"
"141455","","1260","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"141456","R77014","588","0","0","0","0","","GONE_FROM_BCAD"
"141460","R80116","588","0","0","0","0","","GONE_FROM_BCAD"
"141468","R85020","300","0","0","0","0","","GONE_FROM_BCAD"
"141470","R86929","348","0","0","0","0","","GONE_FROM_BCAD"
"141475","R90376","780","0","0","0","0","","GONE_FROM_BCAD"
"141477","R91316","540","0","0","0","0","","GONE_FROM_BCAD"
"141484","R93150","300","0","0","0","0","","GONE_FROM_BCAD"
"141486","R94480","300","0","0","0","0","","GONE_FROM_BCAD"
"141489","R103277","348","0","0","0","0","","GONE_FROM_BCAD"
"141502","","540","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"141503","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"141510","","492","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"141511","","348","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"141517","","588","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"141519","R10005","348","0","0","0","0","","GONE_FROM_BCAD"
"14209","R14209","348","0","0","0","0","","GONE_FROM_BCAD"
"14289","R14289","300","0","0","0","0","","GONE_FROM_BCAD"
"14367","R14367","300","0","0","0","0","","GONE_FROM_BCAD"
"14803","R14803","540","0","0","0","0","","GONE_FROM_BCAD"
"14874","R14874","492","0","0","0","1","8733856","SUCCESSOR_POLYGON_OTHER_ID_COVERS_FOOTPRINT"
"15222","R15222","300","0","0","0","0","","GONE_FROM_BCAD"
"15378","R15378","2581","0","0","0","2","8731312|8715853","SUCCESSOR_POLYGON_OTHER_ID_COVERS_FOOTPRINT"
"15903","R15903","396","0","0","0","0","","GONE_FROM_BCAD"
"16356","","396","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"16451","R16451","348","0","0","0","0","","GONE_FROM_BCAD"
"16454","R16454","348","0","0","0","0","","GONE_FROM_BCAD"
"16536","R16536","568","0","1","0","0","","RECORD_WITHOUT_POLYGON"
"16601","R16601","348","0","0","0","0","","GONE_FROM_BCAD"
"16638","R16638","300","0","0","0","0","","GONE_FROM_BCAD"
"16696","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"17125","R17125","348","0","0","0","0","","GONE_FROM_BCAD"
"17139","R17139","732","0","0","0","1","8740459","SUCCESSOR_POLYGON_OTHER_ID_COVERS_FOOTPRINT"
"17319","R17319","540","0","0","0","0","","GONE_FROM_BCAD"
"17446","R17446","1164","0","0","0","0","","GONE_FROM_BCAD"
"17458","R17458","697","0","0","0","0","","GONE_FROM_BCAD"
"17490","R17490","540","0","0","0","0","","GONE_FROM_BCAD"
"18033","R18033","540","0","0","0","0","","GONE_FROM_BCAD"
"18422","R18422","396","0","0","0","0","","GONE_FROM_BCAD"
"18434","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"18575","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"18680","","348","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"18693","R18693","596","0","0","0","1","8739437","SUCCESSOR_POLYGON_OTHER_ID_COVERS_FOOTPRINT"
"18735","R18735","636","0","0","0","0","","GONE_FROM_BCAD"
"18816","R18816","492","0","0","0","0","","GONE_FROM_BCAD"
"19077","R19077","300","0","0","0","0","","GONE_FROM_BCAD"
"19180","R19180","300","0","0","0","0","","GONE_FROM_BCAD"
"19263","","396","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"19285","R19285","348","0","0","0","0","","GONE_FROM_BCAD"
"19351","R19351","1020","0","0","0","0","","GONE_FROM_BCAD"
"19506","R19506","540","0","0","0","0","","GONE_FROM_BCAD"
