id,authority
73867,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
73969,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
87967,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
74151,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
92404,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
92044,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127569,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
87368,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
8794,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
88081,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
90765,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
66639,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
73683,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
66000,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
73347,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
72605,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
73556,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
70375,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
63902,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
64834,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
73231,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
95166,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
70474,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
71780,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
125237,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
125239,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
74558,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
125247,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
125251,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
125255,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
125263,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
