county_fips,rail_key,verdict,unaccounted_count,evaluated_at,run_id
48021,setbackRearFt,pass,0,2026-09-16 21:03:56.966+00,587080ac-c454-4e4b-8262-63d81c8737e1
48021,setbackRules,pass,0,2026-09-16 21:04:21.16+00,587080ac-c454-4e4b-8262-63d81c8737e1
48021,setbackSideFt,pass,0,2026-09-16 21:03:55.084+00,587080ac-c454-4e4b-8262-63d81c8737e1
48021,situsAddress,pass,0,2026-09-16 21:02:49.33+00,587080ac-c454-4e4b-8262-63d81c8737e1
48021,situsCity,pass,0,2026-09-16 21:02:51.407+00,587080ac-c454-4e4b-8262-63d81c8737e1
48021,situsState,excluded,0,2026-09-16 21:03:02.785+00,587080ac-c454-4e4b-8262-63d81c8737e1
48021,situsZip,pass,0,2026-09-16 21:03:04.69+00,587080ac-c454-4e4b-8262-63d81c8737e1
48021,specialDistricts,pass,0,2026-09-16 21:04:32.655+00,587080ac-c454-4e4b-8262-63d81c8737e1
48021,terrain,excluded,0,2026-09-16 21:05:00.606+00,587080ac-c454-4e4b-8262-63d81c8737e1
48021,treeProtection,excluded,0,2026-09-16 21:04:19.369+00,587080ac-c454-4e4b-8262-63d81c8737e1
48021,utilityService,pass,0,2026-09-16 21:04:47.074+00,587080ac-c454-4e4b-8262-63d81c8737e1
48021,valueHistory,pass,0,2026-09-16 21:04:39.232+00,587080ac-c454-4e4b-8262-63d81c8737e1
48021,wells,pass,0,2026-09-16 21:04:22.941+00,587080ac-c454-4e4b-8262-63d81c8737e1
48021,yearBuilt,pass,0,2026-09-16 21:03:21.993+00,587080ac-c454-4e4b-8262-63d81c8737e1
48021,zoningDistrict,pass,0,2026-09-16 21:03:45.6+00,587080ac-c454-4e4b-8262-63d81c8737e1
48021,zoningJurisdictionKey,pass,0,2026-09-16 21:03:47.344+00,587080ac-c454-4e4b-8262-63d81c8737e1
48021,zoningProvenance,pass,0,2026-09-16 21:03:49.162+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,acreageAcres,pass,0,2026-09-16 21:05:24.599+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,acreageMethod,refuse,2274,2026-09-16 21:05:26.237+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,acreageSqft,excluded,0,2026-09-16 21:05:25.391+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,agValuation,excluded,0,2026-09-16 21:06:06.28+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,apn,pass,0,2026-09-16 21:05:17.147+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,assessedValue,pass,0,2026-09-16 21:05:28.72+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,buildableAreaPct,excluded,0,2026-09-16 21:05:46.369+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,buildableAreaSqFt,excluded,0,2026-09-16 21:05:45.56+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,buildingFootprint,pass,0,2026-09-16 21:05:58.601+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,citationUrl,excluded,0,2026-09-16 21:05:50.28+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,cityLimits,pass,0,2026-09-16 21:05:35.228+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,countyFips,pass,0,2026-09-16 21:05:33.66+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,easements,excluded,0,2026-09-16 21:05:57.861+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,edgeSignal,excluded,0,2026-09-16 21:05:51.954+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,envelopeDisclosure,excluded,0,2026-09-16 21:05:51.119+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,envelopeStatus,excluded,0,2026-09-16 21:05:40.588+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,etjStatus,excluded,0,2026-09-16 21:05:36.294+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,exemptionCodes,refuse,8958,2026-09-16 21:05:32.83+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,flood,pass,0,2026-09-16 21:06:00.731+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,hoaDeedRestrictions,excluded,0,2026-09-16 21:06:07.882+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,improvementValue,pass,0,2026-09-16 21:05:30.314+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,landUseCode,pass,0,2026-09-16 21:05:21.307+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,landUseDescription,excluded,0,2026-09-16 21:05:22.087+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,landUseSource,refuse,196,2026-09-16 21:05:22.932+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,landUseVintage,excluded,0,2026-09-16 21:05:23.775+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,landValue,pass,0,2026-09-16 21:05:29.509+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,legalDescription,pass,0,2026-09-16 21:05:32.028+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,livingAreaSqft,pass,0,2026-09-16 21:05:31.188+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,marketValue,pass,0,2026-09-16 21:05:27.87+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,maxFootprintSqFt,pass,0,2026-09-16 21:05:49.404+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,maxHeightFt,pass,0,2026-09-16 21:05:48.61+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,maxImperviousCoverPct,excluded,0,2026-09-16 21:05:52.827+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,maxLotCoveragePct,pass,0,2026-09-16 21:05:47.404+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,mineralRights,excluded,0,2026-09-16 21:06:07.057+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,ossf,excluded,0,2026-09-16 21:06:04.554+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,overlayDistricts,pass,0,2026-09-16 21:06:08.641+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,owner,pass,0,2026-09-16 21:06:01.406+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,parcelAreaSqFt,pass,0,2026-09-16 21:05:44.74+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,parcelGeometry,excluded,0,2026-09-16 21:06:09.359+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,permits,excluded,0,2026-09-16 21:05:56.994+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,pipelines,excluded,0,2026-09-16 21:05:56.209+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,publicRecordRefs,excluded,0,2026-09-16 21:06:03.799+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,railCorridor,excluded,0,2026-09-16 21:06:11.963+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,roads,excluded,0,2026-09-16 21:06:10.232+00,587080ac-c454-4e4b-8262-63d81c8737e1
48055,salesHistory,excluded,0,2026-09-16 21:06:03.012+00,587080ac-c454-4e4b-8262-63d81c8737e1
