rail_key,kind,corpus,n
setbackCornerFt,not-applicable,no-source,104992
setbackCornerFt,refused,no-source,24385
setbackCornerFt,unaccounted,no-source,33883
setbackCornerFt,value,at-pin,217657
setbackFrontFt,not-applicable,no-source,104992
setbackFrontFt,refused,no-source,24385
setbackFrontFt,unaccounted,no-source,33883
setbackFrontFt,value,at-pin,217657
setbackRearFt,not-applicable,no-source,104992
setbackRearFt,refused,no-source,24385
setbackRearFt,unaccounted,no-source,33883
setbackRearFt,value,at-pin,217657
setbackRules,not-applicable,no-source,104992
setbackRules,refused,no-source,24385
setbackRules,unaccounted,no-source,33883
setbackRules,value,at-pin,217657
setbackSideFt,not-applicable,no-source,104992
setbackSideFt,refused,no-source,24385
setbackSideFt,unaccounted,no-source,33883
setbackSideFt,value,at-pin,217657
