rail_key,kind,corpus,n
setbackCornerFt,not-applicable,no-source,62151
setbackCornerFt,refused,no-source,6498
setbackCornerFt,unaccounted,no-source,8283
setbackCornerFt,value,at-pin,39488
setbackFrontFt,not-applicable,no-source,62151
setbackFrontFt,refused,no-source,6498
setbackFrontFt,unaccounted,no-source,8283
setbackFrontFt,value,at-pin,39488
setbackRearFt,not-applicable,no-source,62151
setbackRearFt,refused,no-source,6498
setbackRearFt,unaccounted,no-source,8283
setbackRearFt,value,at-pin,39488
setbackRules,not-applicable,no-source,62151
setbackRules,refused,no-source,6498
setbackRules,unaccounted,no-source,8283
setbackRules,value,at-pin,39488
setbackSideFt,not-applicable,no-source,62151
setbackSideFt,refused,no-source,6498
setbackSideFt,unaccounted,no-source,8283
setbackSideFt,value,at-pin,39488
